iter	Passed	Remaining
0	0	83
1	1	80
2	2	79
3	3	73
4	3	72
5	4	72
6	5	71
7	6	70
8	6	70
9	7	70
10	8	69
11	9	68
12	10	67
13	10	66
14	11	65
15	12	65
16	13	64
17	13	63
18	14	62
19	15	62
20	16	61
21	17	60
22	17	60
23	18	59
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	52
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	44
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	37	40
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	47	31
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	56	25
69	57	24
70	57	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	80	0
